"","empirical"
"402","ENSG00000178078"
"403","ENSG00000178467"
"404","ENSG00000178691"
"405","ENSG00000179348"
"406","ENSG00000182093"
"407","ENSG00000182180"
"408","ENSG00000182197"
"409","ENSG00000182704"
"410","ENSG00000182768"
"411","ENSG00000182827"
"412","ENSG00000182979"
"413","ENSG00000183527"
"414","ENSG00000183943"
"415","ENSG00000184432"
"416","ENSG00000184481"
"417","ENSG00000184678"
"418","ENSG00000185499"
"419","ENSG00000186480"
"420","ENSG00000187555"
"421","ENSG00000187840"
"422","ENSG00000188021"
"423","ENSG00000188042"
"424","ENSG00000189171"
"425","ENSG00000196154"
"426","ENSG00000196396"
"427","ENSG00000196405"
"428","ENSG00000196591"
"429","ENSG00000196781"
"430","ENSG00000197081"
"431","ENSG00000197226"
"432","ENSG00000197265"
"433","ENSG00000197324"
"434","ENSG00000197930"
"435","ENSG00000198176"
"436","ENSG00000198189"
"437","ENSG00000198231"
"438","ENSG00000198380"
"439","ENSG00000198561"
"440","ENSG00000198642"
"441","ENSG00000198815"
"442","ENSG00000198833"
"443","ENSG00000198920"
"444","ENSG00000204257"
"445","ENSG00000204264"
"446","ENSG00000204287"
"447","ENSG00000204852"
"448","ENSG00000204977"
"449","ENSG00000205220"
"450","ENSG00000206053"
"451","ENSG00000213366"
"452","ENSG00000213533"
"453","ENSG00000213585"
"454","ENSG00000214063"
"455","ENSG00000214114"
"456","ENSG00000214253"
"457","ENSG00000215251"
"458","ENSG00000225190"
"459","ENSG00000247596"
"460","ENSG00000254087"
"461","ENSG00000254505"
"462","ENSG00000262814"
"463","ENSG00000282558"
