"","pert_iname","mean","n","median","sd","sRGES"
"764","tegaserod",-0.393429433932293,10,-0.416100637003269,0.0872180638289832,-0.393429433932293
"765","BRD-K85770991",-0.393403468247986,1,-0.393403468247986,NA,-0.393403468247986
"766","BRD-K30635390",-0.393174770377581,1,-0.393174770377581,NA,-0.393174770377581
"767","BRD-K24986598",-0.393122522767909,1,-0.393122522767909,NA,-0.393122522767909
"768","BRD-K53285126",-0.393039785952932,2,-0.393039785952932,0.0609959393981799,-0.393039785952932
"769","BRD-K73400194",-0.392776485498928,2,-0.392776485498928,0.0482451777720396,-0.392776485498928
"770","BJM-CSC-19",-0.392646830850454,5,-0.425409204195575,0.055122447156142,-0.392646830850454
"771","BRD-K12676148",-0.39264170330874,1,-0.39264170330874,NA,-0.39264170330874
"772","BRD-K37920059",-0.392606463044308,1,-0.392606463044308,NA,-0.392606463044308
"773","RJC-00245SC",-0.392585405879909,10,-0.433814868243857,0.166857595285115,-0.392585405879909
"774","BRD-K17360472",-0.392566589868506,1,-0.392566589868506,NA,-0.392566589868506
"775","BRD-K83720640",-0.392489466366074,4,-0.387747639607151,0.0503579265900506,-0.392489466366074
"776","BRD-K03222452",-0.392474927395397,2,-0.392474927395397,0.056370389599036,-0.392474927395397
"777","SA-247508",-0.392432860086365,4,-0.424719929319521,0.106963703070245,-0.392432860086365
"778","malonoben",-0.392428924765404,31,-0.443055146893696,0.186127436005804,-0.392428924765404
"779","BRD-K10894258",-0.392167399798118,1,-0.392167399798118,NA,-0.392167399798118
"780","BRD-K64577556",-0.391922890151101,1,-0.391922890151101,NA,-0.391922890151101
"781","BRD-K67689741",-0.391921286057822,1,-0.391921286057822,NA,-0.391921286057822
"782","BRD-K07008972",-0.391781500786331,2,-0.391781500786331,0.0199928831170378,-0.391781500786331
"783","BRD-K08750028",-0.391652715011614,1,-0.391652715011614,NA,-0.391652715011614
"784","BRD-K11742792",-0.391622466395488,1,-0.391622466395488,NA,-0.391622466395488
"785","BRD-K50176356",-0.391606883775059,1,-0.391606883775059,NA,-0.391606883775059
"786","BRD-K38037265",-0.391234275821873,1,-0.391234275821873,NA,-0.391234275821873
"787","BRD-K78227082",-0.391162309347487,2,-0.391162309347487,0.160319624825796,-0.391162309347487
"788","BRD-K84405221",-0.391083009875252,1,-0.391083009875252,NA,-0.391083009875252
"789","BRD-K11454759",-0.390969359841593,2,-0.390969359841593,0.00821857798948626,-0.390969359841593
"790","peruvoside",-0.390893105171918,3,-0.36314706081196,0.135401454024263,-0.390893105171918
"791","BRD-K59893315",-0.390553659093051,1,-0.390553659093051,NA,-0.390553659093051
"792","BRD-K76358141",-0.390514713974975,2,-0.390514713974975,0.14687307249661,-0.390514713974975
"793","BRD-K84047740",-0.390501411483379,1,-0.390501411483379,NA,-0.390501411483379
"794","puromycin",-0.390480972917,30,-0.46399496667102,0.211808354206961,-0.390480972917
"795","BRD-K74101931",-0.390390041578552,1,-0.390390041578552,NA,-0.390390041578552
"796","BRD-K64070950",-0.390128826396185,1,-0.390128826396185,NA,-0.390128826396185
"797","BRD-K62957477",-0.389693887961285,1,-0.389693887961285,NA,-0.389693887961285
"798","BRD-K19890875",-0.389689751716999,2,-0.389689751716999,0.0278964271094358,-0.389689751716999
"799","BRD-K33778189",-0.389600392238714,1,-0.389600392238714,NA,-0.389600392238714
"800","I-606061",-0.389518026768271,7,-0.420294896508485,0.0752073698627372,-0.389518026768271
"801","BRD-K47664103",-0.389368486181749,1,-0.389368486181749,NA,-0.389368486181749
"802","BRD-K53640012",-0.389313259541701,4,-0.373954753860003,0.118203930129193,-0.389313259541701
"803","BRD-K79275879",-0.38925528302746,1,-0.38925528302746,NA,-0.38925528302746
"804","BRD-K94241935",-0.389211846497829,2,-0.389211846497829,0.0299389147228235,-0.389211846497829
"805","BRD-K60857329",-0.389148496246289,1,-0.389148496246289,NA,-0.389148496246289
"806","BRD-K10017294",-0.389002065445498,1,-0.389002065445498,NA,-0.389002065445498
"807","BRD-K25029498",-0.388982294334113,2,-0.388982294334113,0.287759545063733,-0.388982294334113
"808","BRD-K77273736",-0.388968837798996,1,-0.388968837798996,NA,-0.388968837798996
"809","BRD-K31380618",-0.388887227997422,9,-0.39543791683863,0.0835545933647093,-0.388887227997422
"810","BRD-K28138218",-0.388839020821456,4,-0.38385155108153,0.0492305237305603,-0.388839020821456
"811","BRD-K97466946",-0.388717632834965,2,-0.388717632834965,0.0608309686566599,-0.388717632834965
"812","BRD-K71611609",-0.388709410134107,1,-0.388709410134107,NA,-0.388709410134107
"813","BRD-K65044501",-0.388694996160584,1,-0.388694996160584,NA,-0.388694996160584
"814","BRD-K81141085",-0.388682598860723,1,-0.388682598860723,NA,-0.388682598860723
"815","BRD-M18093923",-0.388475235381307,1,-0.388475235381307,NA,-0.388475235381307
"816","BRD-K45151011",-0.388250891478374,1,-0.388250891478374,NA,-0.388250891478374
"817","BRD-K36701739",-0.388241026329518,2,-0.388241026329518,0.0266383972627493,-0.388241026329518
"818","CGP-71683",-0.387803653349778,15,-0.42190308681527,0.136793159213186,-0.387803653349778
"819","BRD-K99805333",-0.387618649570108,1,-0.387618649570108,NA,-0.387618649570108
"820","BRD-K04533640",-0.387615418517557,1,-0.387615418517557,NA,-0.387615418517557
"821","BRD-K63523728",-0.38761404358046,1,-0.38761404358046,NA,-0.38761404358046
"822","BRD-K71073890",-0.387595252773473,1,-0.387595252773473,NA,-0.387595252773473
"823","BRD-K54261877",-0.387584264709696,2,-0.387584264709696,0.0383420377012205,-0.387584264709696
"824","BRD-K13648511",-0.38741559432618,1,-0.38741559432618,NA,-0.38741559432618
"825","BRD-K70559158",-0.387346806657675,2,-0.387346806657675,0.00438606127404726,-0.387346806657675
"826","BRD-K34394296",-0.387167721100839,4,-0.391248190669356,0.159898619872418,-0.387167721100839
"827","SA-1459002",-0.387161085814513,3,-0.414750718744238,0.072045800500714,-0.387161085814513
"828","BRD-K12126940",-0.387011843998129,1,-0.387011843998129,NA,-0.387011843998129
"829","BRD-K92758184",-0.386990750196318,2,-0.386990750196318,0.172231354253433,-0.386990750196318
"830","BRD-K81795824",-0.386876594229383,16,-0.41079704630921,0.151371751287623,-0.386876594229383
"831","BRD-K74702716",-0.386857392730941,1,-0.386857392730941,NA,-0.386857392730941
"832","BRD-K11787592",-0.386837685299223,1,-0.386837685299223,NA,-0.386837685299223
"833","BRD-K85332209",-0.38669194196698,1,-0.38669194196698,NA,-0.38669194196698
"834","BRD-K35928056",-0.386641963053144,1,-0.386641963053144,NA,-0.386641963053144
"835","BRD-K39550135",-0.38659613181659,1,-0.38659613181659,NA,-0.38659613181659
"836","BRD-K71329594",-0.386498981028091,2,-0.386498981028091,0.024183847293087,-0.386498981028091
"837","BRD-K55078218",-0.386398954354311,2,-0.386398954354311,0.113182964433338,-0.386398954354311
"838","SA-1921085",-0.386172857381767,5,-0.406010724799333,0.0653820441013248,-0.386172857381767
"839","monensin",-0.38614650046427,1,-0.38614650046427,NA,-0.38614650046427
"840","BRD-K39900129",-0.386135092442846,1,-0.386135092442846,NA,-0.386135092442846
"841","niclosamide",-0.386122774869528,94,-0.40536860428135,0.123415419088093,-0.386122774869528
"842","BRD-K57206606",-0.386100249270069,2,-0.386100249270069,0.0311942222627618,-0.386100249270069
"843","BRD-K50641952",-0.385870646207928,1,-0.385870646207928,NA,-0.385870646207928
"844","BRD-A75558199",-0.385640266672625,2,-0.385640266672625,0.0680957754522678,-0.385640266672625
"845","BRD-K03245480",-0.385349545048306,1,-0.385349545048306,NA,-0.385349545048306
"846","BRD-K55851396",-0.385313938021586,12,-0.44209479168642,0.253399667764878,-0.385313938021586
"847","BRD-K82062446",-0.385278506631647,1,-0.385278506631647,NA,-0.385278506631647
"848","BRD-K75486920",-0.38525900549012,1,-0.38525900549012,NA,-0.38525900549012
"849","BRD-K95052025",-0.385213884588106,1,-0.385213884588106,NA,-0.385213884588106
"850","BRD-K88628885",-0.385145137733274,1,-0.385145137733274,NA,-0.385145137733274
"851","BRD-K73522157",-0.3848628173161,1,-0.3848628173161,NA,-0.3848628173161
"852","BRD-K43326597",-0.384855484318251,1,-0.384855484318251,NA,-0.384855484318251
"853","phorbol-myristate-acetate",-0.384840011889781,35,-0.480342954857974,0.216023037682952,-0.384840011889781
"854","BRD-K53321531",-0.384838935285377,2,-0.384838935285377,0.0313614615347524,-0.384838935285377
"855","BRD-K10846167",-0.38468127669225,8,-0.378780361763274,0.048150718302796,-0.38468127669225
"856","ciclopirox",-0.384470438251529,4,-0.391737897431938,0.10566337585003,-0.384470438251529
"857","selamectin",-0.384325912454944,15,-0.408080413654409,0.181611864848305,-0.384325912454944
"858","BRD-K42614769",-0.384319717162932,1,-0.384319717162932,NA,-0.384319717162932
"859","BRD-K89133991",-0.384267011240894,1,-0.384267011240894,NA,-0.384267011240894
"860","BRD-K93971021",-0.384154724711336,1,-0.384154724711336,NA,-0.384154724711336
"861","BRD-K24946412",-0.384112051873627,1,-0.384112051873627,NA,-0.384112051873627
"862","I-070759",-0.384025569715376,12,-0.414266026495954,0.163982060108461,-0.384025569715376
"863","BRD-K21230248",-0.383964273057462,1,-0.383964273057462,NA,-0.383964273057462
"864","BRD-K00196194",-0.383837572554381,1,-0.383837572554381,NA,-0.383837572554381
"865","BRD-K47533918",-0.383815602226036,12,-0.424617061059449,0.209596618751926,-0.383815602226036
"866","BRD-K23424219",-0.383749347424014,1,-0.383749347424014,NA,-0.383749347424014
"867","methyl-benzethonium",-0.383581083106194,4,-0.370493973508124,0.0712625399613737,-0.383581083106194
"868","BRD-K21536131",-0.383554770958849,1,-0.383554770958849,NA,-0.383554770958849
"869","BRD-K13943990",-0.383519037838331,3,-0.444126730992049,0.178241168348672,-0.383519037838331
"870","BRD-K69747917",-0.383477339035065,1,-0.383477339035065,NA,-0.383477339035065
"871","BRD-M98484762",-0.383474566294879,1,-0.383474566294879,NA,-0.383474566294879
"872","BRD-K90141430",-0.383239463484352,2,-0.383239463484352,0.0411446773976918,-0.383239463484352
"873","BRD-K42361978",-0.38317347793671,1,-0.38317347793671,NA,-0.38317347793671
"874","BRD-K99633092",-0.383139644195031,9,-0.398292208679611,0.121874008684907,-0.383139644195031
"875","BRD-K76224440",-0.383102416654059,1,-0.383102416654059,NA,-0.383102416654059
"876","BRD-K72692763",-0.382909031701792,1,-0.382909031701792,NA,-0.382909031701792
"877","(+)-3-(1-propyl-piperidin-3-yl)-phenol",-0.382807694881293,1,-0.382807694881293,NA,-0.382807694881293
"878","BRD-K90173466",-0.382664751210958,1,-0.382664751210958,NA,-0.382664751210958
"879","BRD-K32759520",-0.382604712291071,1,-0.382604712291071,NA,-0.382604712291071
"880","BRD-K04650027",-0.382602420729244,1,-0.382602420729244,NA,-0.382602420729244
"881","BRD-K18132838",-0.382410846160447,1,-0.382410846160447,NA,-0.382410846160447
